Date,Open,High,Low,Close,Adj Close,Volume
2019-07-18,6054.399902,6055.700195,5857.500000,5882.350098,5801.429688,1097857
2019-07-19,5885.000000,5910.950195,5710.100098,5769.100098,5689.737793,1228672
2019-07-22,5780.000000,5940.000000,5745.049805,5912.500000,5831.165039,897510
2019-07-23,5910.000000,5972.399902,5820.200195,5873.750000,5792.948242,841517
2019-07-24,5865.000000,5865.000000,5725.299805,5768.000000,5688.652832,800687
2019-07-25,5789.100098,5844.950195,5701.049805,5756.750000,5677.557617,990461
2019-07-26,5728.000000,5955.000000,5683.899902,5805.649902,5725.784668,2346714
2019-07-29,5770.000000,5770.000000,5540.000000,5561.250000,5484.747070,1548125
2019-07-30,5562.000000,5644.850098,5492.000000,5507.149902,5431.391113,1189163
2019-07-31,5525.799805,5582.299805,5446.049805,5469.700195,5394.456543,1053202
2019-08-01,5469.700195,5615.000000,5450.000000,5572.600098,5495.940918,1134178
2019-08-02,5539.600098,5724.000000,5485.000000,5689.350098,5611.084961,1391678
2019-08-05,5600.000000,5695.000000,5452.000000,5670.350098,5592.346191,1122496
2019-08-06,5640.000000,5849.000000,5640.000000,5833.299805,5753.054199,1125521
2019-08-07,5833.950195,5867.000000,5735.700195,5775.000000,5695.556641,955090
2019-08-08,5725.000000,5947.000000,5725.000000,5902.250000,5821.056152,831725
2019-08-09,5937.649902,6155.000000,5927.200195,6099.899902,6015.986816,1445079
2019-08-13,6099.700195,6123.000000,5791.549805,5815.450195,5735.450195,909354
2019-08-14,5792.000000,5933.399902,5710.000000,5816.000000,5816.000000,1030939
2019-08-16,5805.000000,5995.000000,5590.000000,5975.049805,5975.049805,1207075
2019-08-19,5999.000000,6024.399902,5911.600098,5982.549805,5982.549805,902389
2019-08-20,6003.000000,6233.000000,5959.049805,6190.950195,6190.950195,2198337
2019-08-21,6223.000000,6276.000000,6141.000000,6228.899902,6228.899902,2128640
2019-08-22,6200.000000,6298.500000,6168.000000,6208.549805,6208.549805,1551394
2019-08-23,6160.000000,6279.600098,6040.000000,6254.350098,6254.350098,1232405
2019-08-26,6460.000000,6466.700195,6116.149902,6255.549805,6255.549805,1552155
2019-08-27,6297.500000,6340.000000,6256.000000,6277.750000,6277.750000,1078065
2019-08-28,6248.000000,6248.000000,6070.000000,6103.399902,6103.399902,1242304
2019-08-29,6103.399902,6198.000000,6065.000000,6110.200195,6110.200195,1006756
